Category,Label,Decision Owner Email,Ready By,GO Definition,CONDITIONAL GO Definition,NO GO Definition,UI Framework Only,Gate,Tier
UX & Research,UX Validation Complete (Level 1),[name of pod's product manager],GTM Access,"Validation plan executed: internal product user sessions (3-5), external representative user sessions (5-8), and customer sessions completed with findings documented and applied",Validation partially complete; mitigation plan documented with timeline,Required validation (internal + external + customer sessions) has not been performed,true,true,TIER_1_ONLY
UX & Research,UX Validation Complete (Level 2),[name of pod's product manager],GTM Access,"Validation plan executed: internal product user sessions (3-5) and external representative user sessions (5-8) completed with findings documented and applied; no customer sessions required",Validation partially complete; mitigation plan documented with timeline,Required validation (internal + external) has not been performed,true,true,TIER_2_ONLY
UX & Research,UX Validation Complete (Level 3),[name of pod's product manager],GTM Access,"Validation plan executed: internal product user sessions (3-5) completed with findings documented and applied",Validation partially complete; mitigation plan documented with timeline,Required internal validation has not been performed,true,true,TIER_3_ONLY
UX & Research,UX Preview Validated (Level 1),[name of pod's product manager],GTM Access,"UX and Product Education have reviewed changes in UX Preview production group; both signed off on visual accuracy, interaction quality, and documentation needs",Preview available but one or more sign-offs still pending; issues identified with clear resolution plan,No UX Preview group configured or reviews not started,true,true,TIER_1_ONLY
UX & Research,UX Preview Validated (Level 2),[name of pod's product manager],GTM Access,"UX and Product Education have reviewed changes in UX Preview production group; both signed off on visual accuracy, interaction quality, and documentation needs",Preview available but one or more sign-offs still pending; issues identified with clear resolution plan,No UX Preview group configured or reviews not started,true,true,TIER_2_ONLY
UX & Research,UX Preview Validated (Level 3),[name of pod's product manager],GTM Access,"UX and Product Education have reviewed changes in UX Preview production group; both signed off on visual accuracy, interaction quality, and documentation needs",Preview available but one or more sign-offs still pending; issues identified with clear resolution plan,No UX Preview group configured or reviews not started,true,true,TIER_3_ONLY
UX & Research,Behavioral Baseline Established (Level 1),[name of pod's product manager],GTM Access,Baseline Pendo/usage metrics captured for all affected workflows; pre-launch snapshot documented with defined comparison criteria for post-launch analysis,Baseline partially captured; workaround plan documented,No behavioral baseline established for affected workflows,true,true,TIER_1_ONLY
UX & Research,Behavioral Baseline Established (Level 2),[name of pod's product manager],GTM Access,Baseline Pendo/usage metrics captured for all affected workflows; pre-launch snapshot documented with defined comparison criteria for post-launch analysis,Baseline partially captured; workaround plan documented,No behavioral baseline established for affected workflows,true,true,TIER_2_ONLY
UX & Research,Behavioral Baseline Established (Level 3),[name of pod's product manager],GTM Access,Baseline Pendo/usage metrics captured for all affected workflows; pre-launch snapshot documented with defined comparison criteria for post-launch analysis,Baseline partially captured; workaround plan documented,No behavioral baseline established for affected workflows,true,true,TIER_3_ONLY
Technical Readiness,Feature Gate Readiness (Level 1),[name of pod's product manager],Internal Readiness,"Feature gate required: implemented and tested; rollback verified in staging with <30 minute recovery time; gate controls validated for all cohort groups (Internal, Cohort 1, Cohort 2)",Feature gate implemented but rollback procedure not yet tested end-to-end; gate configuration documented,No feature gate implemented or validated,true,true,TIER_1_ONLY
Technical Readiness,Feature Gate Readiness (Level 2),[name of pod's product manager],Internal Readiness,"Feature gate required: implemented and tested; rollback verified in staging with <30 minute recovery time; gate controls validated for all cohort groups (Internal, Cohort 1, Cohort 2)",Feature gate implemented but rollback procedure not yet tested end-to-end; gate configuration documented,No feature gate implemented or validated,true,true,TIER_2_ONLY
Technical Readiness,Feature Gate Readiness (Level 3),[name of pod's product manager],Internal Readiness,"Feature gate recommended (optional): if used, implemented and tested; rollback verified; gate controls validated for cohort groups",Feature gate implemented but rollback procedure not yet tested end-to-end,No feature gate for a Level 3 change (optional),true,true,TIER_3_ONLY
Technical Readiness,Rollback Plan Ready (Level 1),[name of pod's product manager],Internal Readiness,"Rollback plan documented and tested: detection (<15 min), assessment (confirm rollout-related), feature gate disable (<30 min), stakeholder communication (<1 hour); communication template prepared",Rollback plan documented but not yet tested end-to-end; stakeholder communication template in draft,No rollback plan exists or rollback mechanism has not been identified,true,true,TIER_1_ONLY
